symbol,stock_code
364D080224,TYB24B
SBGLP,SURBUS
PATEL-RE,PARE1
GLOBAL,GLOEDU
BTML,BODTRE
UNOMINDA,MININD
IZMO,IZMO
SHERA,SHEENE
NSLNISP,NMDSTE
ROML-RE,RARE1
NINSYS,NINSYS
TIMKEN,TIMIND
HUBTOWN,HUBLIM
LRRPL,LEAREC
TV18BRDCST,TV18BR
IMC1,INDMU4
POCHIRAJU,POCIND
CTE,CAMTEC
TIIL,TECIND
HDFCBSE500,HDF500
HDFCSML250,HDF250
HDFCMID150,HDF150
HINDZINC,HINZIN
TVSSRICHAK,TVSSRI
618GS2024,618K24
SGBOCT27VI,SGBT33
REDINGTON,REDIND
AARTIPP,AARPP1
MHHL,MOHHEA
PGIL,PEAGL
AGARWALFT,AGAFLO
HINPOWPLUS,HINPOW
ORIENTBELL,ORIBEL
91D250523,TQE23D
182D240823,THH23D
364D220224,TYB24D
GOLDETF,MIRGOL
AICHAMP,A1CHAM
KHFM-RE,KHFRE1
CGCL-RE,CAPRE1
VIYASH,SEQSCI
PFC,POWFIN
FSL,FIRSOU
OSWALSEEDS,SHRSEE
INDIANB,INDIBA
TTL,TT
VIAZ,VIATYR
TFL,TRANFI
SMSPHARMA,SMSPHA
HSCL,HIMCHE
GANESHHOU,GANHOU
ORIENTALTL,ORITRI
MINDTREE,MINLIM
APOLLOPIPE,AMULEA
EVINIX,EVIACC
IDEA,IDECEL
POCL,PONOXI
EUROCERA,EURCER
AMDIND,AMDIND
GODREJAGRO,GODAGR
RAJTV,RATELE
SUPREMETEX,SUPTEX
PAGEIND,PAGIND
SRIVASAVI,SRIAD
ASTRAL,ASTPOL
SANOFI,SANOFI
LAOPALA,LAOPA
GOLDBEES,GOLDEX
ABHISHEK,ABHCOR
JKTYRE,JKTYRE
NAHARSPING,NAHSPI
NAHARPOLY,NAHPOL
HOGANAS,HOGIND
EMBDL,INDREL
LEXUS,LEXGRA
KIRLFER,KIRFER
JMTAUTOLTD,JMTAUT
KSOILS,KSOIL
DIVGIITTS,DIVTOR
HLVLTD,HOTLEE
GOKULAGRO,GOKAGR
THEMISMED,THECHE
NCLIND,NCLIND
VERTEXPLUS,VERTEC
BALAMINES,BALAMI
SYSTANGO,SYSTEC
GOKUL-RE,GOKRE1
BANSWRAS,BANSYN
ABSLLIQUID,ADIAI
HOTLINGLAS,HOTGLA
ICRA,ICRLIM
MALCO,MADALU
769NHAI31,NHAN15
GOLDBETA,UTGOLD
DISHTV,DISHTV
ADVANTA,ADVIND
NDLVENTURE,HINVEN
BIRLANU,HILLTD
PHOENIXLTD,PHOMIL
AROGRANITE,AROGRA
ZENITHSTL,ZENITH
BFUTILITIE,BFUTI
182D140923,THI23B
